id,ein,name,careofname,address,city,state,zipcode,exemption_number,subsection_code,affiliation_code,classification_codes,ruling_date,deductibility_code,foundation_code,activity_codes,organization_code,exempt_organization_status_code,tax_period,asset_code,income_code,filing_requirement_code,pf_filing_requirement_code,accounting_period,asset_amount,income_amount,revenue_amount,ntee_code,sort_name,created_at,updated_at,data_source,have_extracts,have_pdfs,latest_object_id,ntee_letter,ntee_category
364724966,364724966,Northwestern Memorial Healthcare,% DAVID BILLER,541 N FAIRBANKS CT RM 1630,Chicago,IL,60611-3319,5878.0,3.0,9.0,1000.0,2011-06-01,1.0,17.0,0.0,1.0,1.0,2024-08-01,9.0,9.0,3.0,0.0,8.0,14174423192.0,10054930253.0,10054188947.0,E22,Group,2023-05-09T20:29:36.620Z,2025-09-19T17:07:54.785Z,current_2025_09_19,,,202501899349301950,E,Health - General and Rehabilitative
362169147,362169147,Advocate Health And Hospitals Corporation,% JAMES DOHENEY,3075 HIGHLAND PKWY FL 6,Downers Grove,IL,60515-5563,0.0,3.0,3.0,1000.0,1937-08-01,1.0,12.0,150000000.0,1.0,1.0,2023-12-01,9.0,9.0,1.0,0.0,12.0,16135653689.0,10343130776.0,6903058013.0,E210,Michael Derose,2023-05-09T20:29:20.421Z,2025-09-19T17:07:48.154Z,current_2025_09_19,,,202403219349301810,E,Health - General and Rehabilitative
363673599,363673599,Feeding America,% DEBORAH HARRIS,161 N CLARK ST STE 700,Chicago,IL,60601-3389,0.0,3.0,3.0,1000.0,1990-01-01,1.0,15.0,560000000.0,1.0,1.0,2024-06-01,9.0,9.0,1.0,0.0,6.0,573702390.0,5166134778.0,5047685550.0,K310,,2023-05-09T20:29:29.059Z,2025-09-19T17:07:51.187Z,current_2025_09_19,,,202501159349300415,K,"Food, Agriculture and Nutrition"
362154936,362154936,Central States Southeast & Southwest Areas Health & Welfare F,% CENTRAL STATES FUNDS,8647 W HIGGINS RD,Chicago,IL,60631-2803,0.0,9.0,3.0,1000.0,1959-04-01,2.0,0.0,264265000.0,2.0,1.0,2023-12-01,9.0,9.0,1.0,0.0,12.0,14196797261.0,80670668280.0,5014226146.0,,,2023-05-09T20:29:20.348Z,2025-09-19T17:07:48.154Z,current_2025_09_19,,,202433209349303368,,
362177139,362177139,University Of Chicago,% JENNIE BENNETT,5801 S DREXEL,Chicago,IL,60637-0000,0.0,3.0,3.0,2000.0,1951-10-01,1.0,11.0,46030000.0,1.0,1.0,2024-06-01,9.0,9.0,1.0,0.0,6.0,14950131084.0,10531275240.0,4888334650.0,B430,Uchicago Argonne Llc,2023-05-09T20:29:20.627Z,2025-09-19T17:07:48.154Z,current_2025_09_19,,,202421349349306107,B,Educational Institutions and Related Activities
362167817,362167817,Northwestern University,,633 CLARK ST,Evanston,IL,60208-0001,0.0,3.0,3.0,2000.0,1945-05-01,1.0,11.0,59319000.0,5.0,1.0,2024-08-01,9.0,9.0,1.0,0.0,8.0,19217819256.0,6526274285.0,4177750770.0,N500,,2023-05-09T20:29:20.421Z,2025-09-19T17:07:48.154Z,current_2025_09_19,,,202531959349301243,N,"Recreation, Sports, Leisure, Athletics"
370813229,370813229,Osf Healthcare System,% MR MICHAEL ALLEN,124 SW ADAMS ST,Peoria,IL,61602-1308,928.0,3.0,9.0,1700.0,1946-03-01,1.0,12.0,1030150.0,5.0,1.0,2024-09-01,9.0,9.0,1.0,0.0,9.0,5787940861.0,3938587718.0,3909183510.0,E220,,2023-05-09T20:29:41.206Z,2025-09-19T17:07:57.920Z,current_2025_09_19,,,202502189349302015,E,Health - General and Rehabilitative
362174823,362174823,Rush University Medical Center,,1700 W VAN BUREN ST STE 265,Chicago,IL,60612-3228,0.0,3.0,3.0,1200.0,1960-03-01,1.0,12.0,150000000.0,1.0,1.0,2024-06-01,9.0,9.0,1.0,0.0,6.0,4702251786.0,3879541975.0,3000055750.0,E22,,2023-05-09T20:29:20.627Z,2025-09-19T17:07:48.154Z,current_2025_09_19,,,202501349349309015,E,Health - General and Rehabilitative
363488183,363488183,University Of Chicago Medical Center,% FIRSTSERVICE RESIDENTIAL,5841 S MARYLAND AVE MC 1086 OFFICE,Chicago,IL,60637-1443,0.0,3.0,3.0,1000.0,1987-05-01,1.0,12.0,150000000.0,1.0,1.0,2024-06-01,9.0,9.0,1.0,0.0,6.0,4767527210.0,3764220367.0,3211988766.0,E220,,2023-05-09T20:29:27.345Z,2025-09-19T17:07:51.187Z,current_2025_09_19,,,202401349349307155,E,Health - General and Rehabilitative
362167000,362167000,The Chicago Community Trust,% NORTHERN TRUST CO TTEE,33 S STATE STREET 750,Chicago,IL,60603-2804,0.0,3.0,3.0,1000.0,1951-06-01,1.0,15.0,602000000.0,2.0,1.0,2024-09-01,9.0,9.0,1.0,0.0,9.0,6018840318.0,4049820508.0,2455691801.0,T310,,2023-05-09T20:29:20.348Z,2025-09-19T17:07:48.154Z,current_2025_09_19,,,202512119349301861,T,"Philanthropy, Voluntarism and Grantmaking Foundations"
