ein,name,careofname,address,city,state,zipcode,exemption_number,subsection_code,affiliation_code,classification_codes,ruling_date,deductibility_code,foundation_code,activity_codes,organization_code,exempt_organization_status_code,tax_period,asset_code,income_code,filing_requirement_code,pf_filing_requirement_code,accounting_period,asset_amount,income_amount,revenue_amount,ntee_code,sort_name,created_at,updated_at,data_source,raw_ntee_code,subseccd,sub_name,strein,ntee_letter
364724966,Northwestern Memorial Healthcare,% DAVID BILLER,541 N FAIRBANKS CT RM 1630,Chicago,IL,60611-3319,5878,3,9,1000,2011-06-01,1,17,000000000,1,1,2024-08-01,9,9,3,0,8,14174423192.0,10054930253.0,10054188947.0,E22,Group,2023-05-09T20:29:36.620Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E22,3,Northwestern Memorial Healthcare Group,36-4724966,E
362169147,Advocate Health And Hospitals Corporation,% JAMES DOHENEY,3075 HIGHLAND PKWY FL 6,Downers Grove,IL,60515-5563,0,3,3,1000,1937-08-01,1,12,150000000,1,1,2023-12-01,9,9,1,0,12,16135653689.0,10343130776.0,6903058013.0,E210,Michael Derose,2023-05-09T20:29:20.421Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E210,3,Advocate Health And Hospitals Corporation Michael Derose,36-2169147,E
363673599,Feeding America,% DEBORAH HARRIS,161 N CLARK ST STE 700,Chicago,IL,60601-3389,0,3,3,1000,1990-01-01,1,15,560000000,1,1,2024-06-01,9,9,1,0,6,573702390.0,5166134778.0,5047685550.0,K310,,2023-05-09T20:29:29.059Z,2025-11-18T01:38:58.133Z,current_2025_11_18,K310,3,Feeding America,36-3673599,K
362177139,University Of Chicago,% JENNIE BENNETT,5801 S DREXEL,Chicago,IL,60637-0000,0,3,3,2000,1951-10-01,1,11,046030000,1,1,2024-06-01,9,9,1,0,6,14950131084.0,10531275240.0,4888334650.0,B430,Uchicago Argonne Llc,2023-05-09T20:29:20.627Z,2025-09-19T17:07:48.154Z,pre_2025_11_18,B430,3,University Of Chicago Uchicago Argonne Llc,36-2177139,B
362167817,Northwestern University,,633 CLARK ST,Evanston,IL,60208-0001,0,3,3,2000,1945-05-01,1,11,059319000,5,1,2024-08-01,9,9,1,0,8,19217819256.0,6526274285.0,4177750770.0,N500,,2023-05-09T20:29:20.421Z,2025-11-18T01:38:52.395Z,current_2025_11_18,N500,3,Northwestern University,36-2167817,N
370813229,Osf Healthcare System,% MR MICHAEL ALLEN,124 SW ADAMS ST,Peoria,IL,61602-1308,928,3,9,1700,1946-03-01,1,12,001030150,5,1,2024-09-01,9,9,1,0,9,5787940861.0,3938587718.0,3909183510.0,E220,,2023-05-09T20:29:41.206Z,2025-11-18T01:39:01.266Z,current_2025_11_18,E220,3,Osf Healthcare System,37-0813229,E
363488183,University Of Chicago Medical Center,% FIRSTSERVICE RESIDENTIAL,5841 S MARYLAND AVE MC 1086 OFFICE,Chicago,IL,60637-1443,0,3,3,1000,1987-05-01,1,12,150000000,1,1,2024-06-01,9,9,1,0,6,4767527210.0,3764220367.0,3211988766.0,E220,,2023-05-09T20:29:27.345Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E220,3,University Of Chicago Medical Center,36-3488183,E
362174823,Rush University Medical Center,,1700 W VAN BUREN ST STE 265,Chicago,IL,60612-3228,0,3,3,1200,1960-03-01,1,12,150000000,1,1,2024-06-01,9,9,1,0,6,4702251786.0,3879541975.0,3000055750.0,E22,,2023-05-09T20:29:20.627Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E22,3,Rush University Medical Center,36-2174823,E
362167000,The Chicago Community Trust,% NORTHERN TRUST CO TTEE,33 S STATE STREET SUITE 750,Chicago,IL,60603-2804,0,3,3,1000,1951-06-01,1,15,602000000,2,1,2024-09-01,9,9,1,0,9,6018840318.0,4049820508.0,2455691801.0,T310,,2023-05-09T20:29:20.348Z,2025-11-18T01:38:52.395Z,current_2025_11_18,T310,3,The Chicago Community Trust,36-2167000,T
363152959,Northwestern Memorial Healthcare,,251 E HURON ST,Chicago,IL,60611-2908,5878,3,6,1000,2011-06-01,1,17,000000000,1,1,2024-08-01,9,9,1,0,8,15237001285.0,2259070785.0,2259070785.0,E22,,2023-05-09T20:29:23.890Z,2025-11-18T01:38:55.197Z,current_2025_11_18,E22,3,Northwestern Memorial Healthcare,36-3152959,E
